,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,1,18,1,1,0,4,4,at_home,teacher,course,2,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11
1,1,1,17,1,1,1,1,1,at_home,other,course,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11
2,1,1,15,1,0,1,1,1,at_home,other,other,2,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12
3,1,1,15,1,1,1,4,2,health,services,home,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
4,1,1,16,1,1,1,3,3,other,other,home,1,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13
5,1,0,16,1,0,1,4,3,services,other,reputation,2,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13
6,1,0,16,1,0,1,2,2,other,other,home,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13
7,1,1,17,1,1,0,4,4,other,teacher,home,2,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13
8,1,0,15,1,0,0,3,2,services,other,home,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17
9,1,0,15,1,1,1,3,4,other,other,home,2,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13
10,1,1,15,1,1,1,4,4,teacher,health,reputation,2,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14
11,1,1,15,1,1,1,2,1,services,other,reputation,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13
12,1,0,15,1,0,1,4,4,health,services,course,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12
13,1,0,15,1,1,1,4,3,teacher,other,course,2,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13
14,1,0,15,1,1,0,2,2,other,other,home,0,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15
15,1,1,16,1,1,1,4,4,health,other,home,2,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17
16,1,1,16,1,1,1,4,4,services,services,reputation,2,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14
17,1,1,16,1,1,1,3,3,other,other,reputation,2,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14
18,1,0,17,1,1,1,3,2,services,services,course,2,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7
19,1,0,16,1,0,1,4,3,health,other,home,1,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12
20,1,0,15,1,1,1,4,3,teacher,other,reputation,2,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14
21,1,0,15,1,1,1,4,4,health,health,other,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12
22,1,0,16,1,0,1,4,2,teacher,other,course,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14
23,1,0,16,1,0,1,2,2,other,other,reputation,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10
24,1,1,15,0,1,1,2,4,services,health,course,2,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10
25,1,1,16,1,1,1,2,2,services,services,home,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12
26,1,0,15,1,1,1,2,2,other,other,home,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12
27,1,0,15,1,1,1,4,2,health,services,other,2,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11
28,1,0,16,1,0,0,3,4,services,other,home,2,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13
29,1,0,16,1,1,1,4,4,teacher,teacher,home,2,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12
30,1,0,15,1,1,1,4,4,health,services,home,2,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11
31,1,0,15,1,1,1,4,4,services,services,reputation,2,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15
32,1,0,15,0,1,1,4,3,teacher,at_home,course,2,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15
33,1,0,15,1,0,1,3,3,other,other,course,2,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12
34,1,0,16,1,1,1,3,2,other,other,home,2,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12
35,1,1,15,1,1,1,2,3,other,other,other,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11
36,1,0,15,1,0,1,4,3,teacher,services,home,2,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14
37,1,0,16,0,1,0,4,4,other,teacher,reputation,2,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13
38,1,1,15,0,1,1,3,4,services,health,course,2,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12
39,1,1,15,0,1,1,2,2,at_home,other,reputation,2,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12
40,1,1,16,1,0,1,2,2,other,other,home,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,10
41,1,0,15,1,0,1,4,4,teacher,other,home,0,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11
42,1,0,15,1,1,1,4,4,services,teacher,course,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15
43,1,0,15,1,1,1,2,2,services,services,course,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10
44,1,1,16,1,0,1,2,2,other,at_home,course,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11,11
45,1,1,15,1,0,0,4,3,other,other,course,2,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11
46,1,1,16,1,0,0,3,3,other,services,home,2,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,12,13
47,1,0,16,1,1,1,4,3,health,services,reputation,2,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17,17,17
48,1,0,15,1,1,1,4,2,teacher,other,home,2,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,11,12,13
49,1,1,15,1,1,1,4,4,services,teacher,other,1,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12
50,1,1,16,1,0,1,2,2,services,services,course,2,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13
51,1,1,15,1,0,1,4,2,health,other,other,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16
52,1,0,15,1,0,0,4,2,health,health,other,1,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,10,9,9
53,1,1,15,1,1,1,4,4,services,services,course,2,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12
54,1,1,15,1,0,0,3,3,other,other,other,2,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13
55,1,1,16,1,1,0,2,1,other,other,other,2,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12
56,1,1,15,1,1,0,4,3,services,services,reputation,2,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15
57,1,0,15,1,1,1,4,4,teacher,health,reputation,2,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16
58,1,0,15,1,0,1,1,2,other,at_home,home,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14
59,1,1,16,1,1,1,4,2,services,other,course,2,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16
60,1,1,16,0,1,1,4,4,health,teacher,other,2,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16
61,1,1,16,1,1,1,1,1,services,services,course,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16
62,1,1,16,1,0,1,1,2,other,services,reputation,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10
63,1,1,16,1,1,1,4,3,teacher,health,home,2,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13
64,1,1,15,1,0,1,4,3,services,services,reputation,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12
65,1,1,16,1,0,1,4,3,teacher,services,course,2,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16
66,1,0,15,1,1,0,4,4,other,services,reputation,2,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12,12
67,1,1,16,1,1,1,3,1,services,other,course,2,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9,10
68,1,1,15,0,0,1,2,2,health,services,reputation,2,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10,11
69,1,1,15,0,0,1,3,1,other,other,reputation,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15,15
70,1,0,16,1,1,1,3,1,other,other,reputation,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,13,11,11
71,1,0,15,1,1,1,4,2,other,other,course,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,11,9,10
72,1,1,15,0,1,1,1,1,other,other,reputation,2,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11
73,1,0,16,1,1,1,3,1,other,other,reputation,2,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13,13,14
74,1,1,16,1,1,1,3,3,other,services,home,2,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11
75,1,0,15,1,1,1,4,3,teacher,other,home,2,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11,11,11
76,1,0,15,1,1,1,4,0,teacher,other,course,2,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,12,11,11
77,1,1,16,1,1,1,2,2,other,other,reputation,2,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13,13,13
78,1,0,17,1,1,1,2,1,other,other,home,2,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,9,9,10
79,1,1,16,1,1,1,3,4,at_home,other,course,2,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,12,11,11
80,1,0,15,1,1,1,2,3,other,services,course,1,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,11,11,12
81,1,0,15,1,1,1,2,3,other,other,home,2,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,10,9,9
82,1,1,15,1,0,1,3,2,services,other,reputation,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11,11
83,1,0,15,1,0,1,2,2,services,services,home,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,13,12,13
84,1,1,15,1,1,1,1,1,other,other,home,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12,12
85,1,1,15,1,1,1,4,4,services,services,reputation,1,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,12,11,12
86,1,1,16,1,0,1,2,2,at_home,other,course,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,13,11,11
87,1,1,15,1,1,1,4,2,other,other,reputation,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,15,15
88,1,0,16,1,1,1,2,2,services,other,reputation,1,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,12,10,11
89,1,0,16,1,0,0,4,4,teacher,health,reputation,2,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6,9,9,10
90,1,1,16,1,1,1,3,3,other,other,home,2,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,9,11,11
91,1,1,15,1,1,1,4,3,services,other,reputation,2,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,14,13,13
92,1,1,16,1,0,1,3,1,other,other,home,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,12,13,12
93,1,1,16,1,1,1,4,2,teacher,services,home,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13,14,14
94,1,0,15,1,0,1,2,2,services,health,reputation,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,11,12,12
95,1,1,15,0,1,1,1,1,at_home,other,home,2,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4,13,13,13
96,1,0,16,0,1,1,4,3,services,other,reputation,2,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,9,11,11
97,1,1,16,1,1,1,2,1,other,other,course,2,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,13,12,12
98,1,1,16,1,1,1,4,4,other,other,reputation,2,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12,13,13
99,1,1,16,1,1,1,4,3,other,at_home,course,2,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2,12,13,13
100,1,0,16,1,1,1,4,4,services,services,other,2,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12,9,9,8
101,1,0,16,1,1,1,4,4,services,teacher,other,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,16,16
102,1,0,15,1,1,1,4,4,services,other,course,2,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12,13,12
103,1,1,15,1,1,1,3,2,services,other,home,2,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,11,10,10
104,1,0,15,1,1,0,3,4,services,other,course,2,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16,16,16
105,1,1,15,1,1,0,3,3,other,health,reputation,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,10,10
106,1,1,15,1,1,1,2,2,other,other,course,2,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,10,10,10
107,1,0,16,1,1,1,3,3,services,other,home,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13,14,14
108,1,0,15,0,1,1,4,4,other,other,home,1,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,12,10,11
109,1,1,16,1,0,1,4,4,health,health,other,2,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,15,15,14
110,1,0,15,1,0,0,4,4,teacher,teacher,course,2,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13,14,14
111,1,1,16,0,1,1,3,3,services,other,reputation,1,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11,11,11
112,1,1,16,1,1,1,2,2,at_home,other,home,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,8,10,10
113,1,0,15,1,0,1,4,2,teacher,other,course,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,17,18
114,1,0,15,0,1,1,2,1,health,services,reputation,2,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,9,10
115,1,0,16,1,1,1,4,4,teacher,teacher,course,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,16,14,14
116,1,0,15,1,1,1,4,4,other,teacher,reputation,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,16,15,16
117,1,0,16,1,1,1,3,3,other,services,home,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14,14,15
118,1,0,17,0,1,1,1,3,other,other,course,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,12,11,11
119,1,0,15,1,1,1,3,4,other,other,reputation,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,13,14
120,1,1,15,1,1,1,1,2,at_home,services,course,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14,14,14
121,1,0,15,1,1,1,2,2,services,services,home,1,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,14,13,13
122,1,1,16,1,0,1,2,4,other,health,course,1,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,14,12,13
123,1,0,16,1,1,1,4,4,health,other,course,2,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,12,13,13
124,1,1,16,1,1,1,2,2,other,other,home,2,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,12,11,11
125,1,0,15,1,1,1,3,4,services,services,home,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9,9,9
126,1,1,15,1,0,0,3,4,other,other,home,2,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,10,11,11
127,1,1,19,1,1,1,0,1,at_home,other,course,0,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,9,10,11
128,1,0,16,0,1,1,4,4,teacher,teacher,course,2,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,14,14,15
129,1,0,16,1,1,1,2,3,other,other,course,2,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,13,12,13
130,1,1,15,0,1,1,3,4,services,teacher,course,1,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,10,11,12
131,1,1,18,1,1,1,2,1,services,other,reputation,2,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,10,9,8
132,1,1,17,1,0,0,2,1,other,other,course,2,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,11,10,11
133,1,1,15,1,1,1,1,1,at_home,other,course,2,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,11,12,13
134,1,1,17,1,0,1,2,2,other,other,course,1,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,13,12,12
135,1,1,16,1,1,0,3,4,services,other,course,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,15,13,14
136,1,0,16,1,1,1,2,1,at_home,other,course,2,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,9,9,11
137,1,1,16,1,1,0,2,2,other,other,home,2,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12,13,11,11
138,1,0,15,0,1,1,3,4,at_home,teacher,course,2,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,12,11,11
139,1,1,15,1,1,1,4,4,services,at_home,course,2,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,13,14,15
140,1,0,17,0,1,1,3,4,at_home,other,course,2,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,10,9,10
141,1,1,16,0,1,1,1,1,at_home,other,course,2,4,2,0,0,1,0,0,1,1,0,0,5,1,3,1,1,3,0,14,13,13
142,1,0,18,1,0,1,3,1,services,services,course,2,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,11,11,12
143,1,1,18,1,1,0,3,2,other,services,course,0,1,3,0,0,1,0,1,0,1,1,1,4,3,3,5,1,5,10,12,11,11
144,1,1,16,0,1,1,1,1,other,services,reputation,2,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,12,11,11
145,1,1,16,1,1,0,3,3,other,other,course,0,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4,9,9,10
146,1,0,16,1,0,1,1,1,services,other,course,2,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,10,10,10
147,1,1,15,1,1,1,4,4,teacher,teacher,course,2,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,13,14,14
148,1,1,15,0,1,1,1,1,other,other,course,2,3,1,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,2,8,9,9
149,1,0,15,1,1,1,4,3,teacher,services,course,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6,9,11,11
150,1,1,15,1,1,0,3,3,services,services,home,2,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,9,8,9
151,1,0,16,1,1,1,4,4,services,services,course,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,15,13,13
152,1,0,16,1,0,1,2,2,services,services,reputation,1,2,1,0,0,1,0,1,1,1,1,0,2,3,3,2,2,2,4,12,11,11
153,1,1,15,1,1,1,4,4,teacher,services,course,2,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13,13,13
154,1,1,16,1,0,1,1,1,at_home,at_home,course,2,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10,11,11
155,1,0,17,1,1,1,2,1,other,other,home,2,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,9,7,6
156,1,1,15,1,1,1,1,1,other,services,course,1,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,12,12,12
157,1,1,15,1,0,0,2,1,at_home,other,home,2,2,1,0,0,1,0,1,1,0,1,1,4,4,2,1,1,5,0,11,10,10
158,1,1,15,1,1,1,3,2,health,services,home,1,1,2,1,0,1,0,0,1,1,1,0,3,3,2,1,1,3,2,11,11,11
159,1,1,15,1,1,1,1,2,at_home,other,course,2,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,13,12,13
